delude, antique, Pergamon, directory, integrate, pectoral, wiener, inconstant, quack, slob, elliptic, architect, trainmen, Richardson, Johnsen, pot, brethren, slick, Kankakee, pairwise, Bruckner, accrual, Scotland, sewerage, dermatology, obsessive, Columbia, eschew, carport, preparation, Seneca, ropy, Roseland, frog, playa, handicraftsman, linoleic, scorpion, trill, migrate
89 : 71 | 63 | 19 | 43 | debauch | stablemen | solo | actinic | gregarious | immigrant | monologue | 84 | 24 | abandon | 11 | easy | 72 | transgressor | escritoire | mortgage | 13 | 5 | 15 | 37 | FBI | depend | 80 | Healey | 82 | 60 | conifer | 35 | 65 | 70 | halide | dump | pup | 67 | 7
1 : 24 | 52 | Mahayanist | Liechtenstein | Blanchard | Aitken | 40 | noble | 84 | 31 | 29 | 50 | 11 | pilewort | toilsome | Brownell | Vietnamese | 27 | 8 | supersede | 66 | 97 | 86 | 82 | archangel | equilibrium | 17 | Odysseus | booth | bulblet | heal | 96 | 4 | 71 | 53 | 97 | 37 | Floridian | quintessential
lobster : 44 | lever | bankrupt | fragmentary | 13 | 35 | Albania | 42 | 45 | 39 | henchmen | mimicked | cowl | 85 | 3 | 84 | 9 | Crandall | 28 | 86 | 17 | 40 | caught | 61 | 31 | ammunition | 83 | 78 | shutdown | 95 | 96 | crave | 14 | 26 | 29 | noble | 0 | 43 | 21
2 : 27 | 15 | 32 | recrudescent | clotheshorse | 3 | 38 | 91 | bronzy | nasal | curlew | stammer | railbird | 66 | collude | 36 | 79 | 0 | 5 | 78 | funk | 52 | 99 | 39 | Burton | 80 | 49 | 41 | Monongahela | livery | 71 | 29 | 2 | 48 | 91 | 78 | 17 | 39 | discriminant
Bayesian : 84 | wing | 64 | 3 | 77 | 33 | bald | Holstein | 25 | adenosine | 54 | militiaman | 69 | 56 | 19 | posterity | seedling | 12 | roomy | 67 | shakeable | Williamson | 4 | 40 | 2 | 90 | 40 | 60 | anthropoid | 33 | delay | teet | lisp | strychnine | 66 | 18 | virtual | 65 | 78
clothbound : 52 | 31 | FTC | loss | 14 | 13 | approach | 59 | peccary | 37 | quest | shipmen | Buchenwald | Larry | 52 | 36 | orography | 2 | 73 | 58 | 71 | chairwoman | roulette | spatterdock | 9 | sum | 35 | 86 | 0 | 79 | Gobi | 70 | 6 | 77 | 81 | 86 | 38 | oceanographer | 15
lay : derriere | journalese | absentia | 35 | 92 | 43 | 72 | 3 | 16 | archery | 79 | Allstate | 43 | 78 | 34 | nylon | 22 | 79 | 6 | 61 | 76 | 75 | 27 | 62 | caucus | emitted | 36 | Lucerne | arrival | 52 | 50 | 50 | 19 | 22 | 47 | 98 | 96 | 77 | proclaim
society : Dianne | polariton | 53 | 52 | 74 | 30 | Zomba | 80 | 94 | 59 | 3 | paymaster | Achilles | 36 | circulate | 14 | 69 | carload | SSW | phalarope | Wahl | 78 | 1 | 17 | age | 94 | Aires | arctic | October | mitten | 9 | 25 | biotite | fungoid | 14 | loaves | 47 | 59 | life
64 : philanthropy | knowhow | 85 | valiant | 91 | coneflower | 78 | made | biharmonic | Orwell | TNT | 65 | convoke | 58 | 83 | 13 | 31 | 88 | querulous | 43 | Lares | 40 | sinh | 15 | papaw | 37 | aboriginal | 85 | 58 | 10 | 74 | 69 | 34 | 50 | 20 | 38 | 59 | 57 | LTV
emerald : 40 | daddy | 91 | 60 | 71 | 39 | 71 | spitfire | enterprise | 16 | epochal | 90 | 32 | Natalie | deceit | 36 | 59 | 63 | 33 | 50 | 23 | meddle | 31 | twain | 86 | 2 | pan | 13 | 63 | 7 | 92 | therapist | chalice | 60 | ohmmeter | 45 | 81 | 40 | 38
canal : 8 | 9 | acetic | 92 | 47 | Jeremiah | centrifuge | analogue | Roxbury | 83 | 50 | 74 | 7 | assassinate | 71 | finger | verbatim | 3 | Maori | Fordham | 55 | 39 | 63 | 6 | 21 | 88 | alleyway | 73 | open | 12 | dieldrin | 72 | 14 | 49 | 12 | 56 | 54 | 90 | 42
farm : 73 | 53 | 10 | 35 | 38 | 46 | 77 | 83 | 32 | 28 | 49 | Semiramis | gong | 57 | 3 | 13 | 19 | didn't | 46 | 70 | 57 | 56 | drophead | Isfahan | Watertown | patrician | 93 | affirm | gumshoe | flap | 80 | Dora | auction | 81 | 58 | 66 | tweedy | 5 | 54
67 : 76 | 39 | counselor | preachy | diplomat | 49 | 79 | 58 | 12 | 27 | 59 | schizophrenic | 76 | 70 | circumstantial | Oswald | 30 | 94 | grind | 51 | Reginald | tuba | 97 | 82 | 3 | 74 | 51 | 66 | 80 | indefatigable | 43 | Calhoun | multiplicand | 82 | 69 | 87 | 55 | 10 | 45
Theseus : 51 | papery | 72 | 1 | bee | 30 | photolytic | arbiter | Cortez | 47 | 95 | 38 | 0 | format | 99 | adieu | 90 | 39 | 43 | 87 | 77 | anomaly | volatile | 75 | Nagoya | 39 | 68 | 71 | stillbirth | preparative | corporal | 19 | 20 | 80 | rinse | legerdemain | circulatory | ERDA | 22
0 : 29 | Greenblatt | 54 | 35 | Garth | 91 | 45 | 92 | 31 | 48 | 70 | 77 | sexual | 75 | are | sphagnum | Hessian | 0 | 78 | maxima | 44 | dispute | 9 | anion | 5 | 40 | frontal | errantry | sauce | 43 | tremble | drop | inconvenient | 49 | hypothesis | 16 | 21 | Minnie | 93
24 : springtail | 64 | 16 | 96 | 37 | journeyman | 57 | 14 | 99 | 56 | 41 | Babylon | 45 | weapon | soil | 68 | 16 | 85 | absenteeism | 49 | 94 | Priestley | seventh | 69 | Charon | codon | 70 | appendices | 54 | lachrymose | 51 | 81 | 40 | woodhen | idiomatic | 84 | Amoco | 53 | junky
90 : guano | Brainard | 95 | 23 | 96 | 44 | 35 | daytime | Palo | 99 | diem | 69 | 58 | randy | Ulster | 15 | 36 | skimpy | 88 | 71 | 7 | 85 | 81 | highwayman | 15 | 98 | meadowlark | storm | 47 | 89 | 32 | 23 | 96 | 83 | 76 | 54 | 98 | 81 | 33
basophilic : 64 | 85 | inequitable | 56 | sadist | fond | 54 | 94 | heir | 81 | 79 | 1 | 85 | Kathy | 58 | nylon | 44 | 87 | vegetable | 14 | writ | 32 | 25 | yardage | 57 | 32 | secular | 64 | 11 | hypocycloid | 23 | 8 | 27 | sequential | 8 | plumbago | 29 | 30 | 20
brookside : 29 | flexural | 90 | 9 | critter | 1 | 73 | 0 | 28 | birdbath | 66 | 77 | coproduct | 33 | presumption | 53 | winery | 5 | 31 | 79 | 79 | loosestrife | 33 | decal | 86 | Schroeder | 63 | frigate | 25 | 64 | ruby | 72 | callosity | 73 | paramilitary | talkative | 47 | 89 | 61
6 : expectation | 83 | 23 | 24 | impassion | 26 | 60 | stoat | 37 | 99 | 75 | casbah | visitation | 41 | Mohawk | freeload | 5 | thine | 97 | 30 | incur | 55 | Horatio | 90 | 71 | 0 | 53 | 64 | 32 | us | 33 | QED | periwinkle | menopause | perky | crest | peak | 40 | frivolity
title : 25 | 78 | orate | shyly | avaricious | transpiration | diagrammed | 99 | 62 | 25 | starve | 22 | 2 | apathy | 53 | 55 | 45 | 9 | 76 | 1 | 12 | diabase | Zanzibar | 68 | Wolcott | 16 | 44 | 97 | rev | hexane | 72 | 40 | 36 | 6 | amateurish | 61 | 1 | 38 | proline
hansom : quadrennial | 72 | 21 | 76 | Julie | 32 | 88 | 23 | 54 | 27 | 80 | 20 | 87 | numbly | crump | tango | 96 | 81 | smudgy | 75 | 87 | 64 | 80 | 89 | shaw | 45 | 69 | 4 | 20 | 50 | esquire | 8 | 38 | 79 | 7 | 2 | 66 | 82 | 62
10 : churn | glycerin | ibis | tiger | thirtieth | 73 | 87 | 87 | 23 | enol | 20 | 52 | 52 | 63 | Abram | 11 | 34 | 74 | 87 | 50 | 77 | wherein | 88 | 53 | eke | 35 | electroencephalograph | 46 | contagious | 3 | 25 | kinsman | 93 | 9 | 91 | centrifugal | 76 | 85 | 42
Ned : fishery | pronoun | serious | isolate | minutemen | 30 | 12 | spat | 6 | 74 | 80 | 81 | snagging | 91 | KY | grip | 39 | 12 | circumpolar | see | singleton | inhabitant | fogy | 79 | 83 | 63 | 24 | 82 | 56 | 85 | 86 | 90 | 49 | paraphernalia | 19 | finicky | 18 | nondescript | gargantuan
worktable : Marino | food | 10 | 9 | 0 | 18 | fide | logarithm | Yellowknife | 10 | 67 | 9 | torah | 41 | 83 | occupy | denominate | expectorant | 61 | Ave | Robinson | Napoleonic | smug | 32 | 97 | scarf | Wyner | 1 | 28 | pitiable | 93 | Anabel | descriptor | 58 | 46 | un | 46 | 45 | phony
92 : 7 | 84 | spectrography | 37 | agnostic | caught | insufficient | Ostrander | lisle | 65 | negligible | 4 | 35 | dexter | tomatoes | 51 | Dutton | ragout | 90 | 35 | 97 | grep | 35 | 71 | appointe | prexy | tun | 67 | perspicacious | ascension | boycott | 63 | 34 | 76 | who'll | 39 | 76 | 17 | borderline
skim : Wyner | leitmotif | litany | 81 | 90 | waste | orthodontist | 50 | puddly | 78 | cockleshell | centennial | Melbourne | 41 | 7 | couscous | diplomat | fusible | 25 | landlord | attic | 87 | 57 | 45 | 13 | 43 | 11 | gallberry | gladdy | 19 | 60 | saturater | phalanx | 90 | 29 | communion | revelatory | 70 | 64
64 : 19 | 59 | Halloween | barrel | nucleon | envoy | frog | algebraic | roughish | 93 | 77 | 40 | 60 | 45 | 32 | toccata | 11 | accomplish | organismic | astringent | 70 | tripoli | 24 | dote | pork | 87 | parolee | 35 | 71 | freshmen | humid | 54 | 62 | 42 | 76 | 87 | 60 | 4 | 18
27 : 36 | 86 | dedicate | tabloid | improvise | 73 | 3 | 19 | Pablo | 95 | 39 | 80 | 45 | 98 | 91 | 94 | sapphire | wert | 66 | owe | ferocity | locus | tripartite | 78 | escort | Johann | 32 | 16 | 66 | 4 | 46 | 88 | Delphinus | animadvert | 90 | sud | 42 | hippopotamus | 82
9 : 18 | Pulitzer | 60 | 61 | 27 | 49 | 23 | 96 | 9 | fist | narcotic | 90 | crash | blossom | 74 | miterwort | 77 | tuna | Brazzaville | 85 | 78 | 9 | 77 | banshee | 82 | saucy | Aden | 95 | 19 | commissariat | 45 | 29 | 79 | perennial | chinchilla | 89 | frontage | 13 | 43
fad : hepatica | saponify | 84 | 59 | Kim | 59 | 64 | 20 | brine | 96 | 88 | 94 | 74 | 76 | 88 | 48 | 45 | 75 | 0 | 60 | meadowsweet | greatcoat | 90 | 36 | bottleneck | buzz | beginner | 58 | Somers | 63 | 20 | 81 | 27 | 60 | 46 | 43 | 94 | 72 | puffball
77 : Zoroastrian | 36 | acetone | fastidious | Dunedin | actinolite | 14 | 70 | 72 | 13 | Socratic | componentry | 20 | 93 | 19 | 14 | 43 | 95 | 25 | Lourdes | diffeomorphism | Alphonse | McKesson | Staunton | 70 | 77 | 18 | 5 | 19 | 69 | rho | beige | chunky | 92 | Chantilly | 51 | 34 | 36 | 86
Harrington : 89 | 57 | 24 | 59 | 22 | attic | egress | 10 | conifer | 25 | plaid | watery | 22 | 10 | 53 | 39 | formulae | 9 | imagen | 40 | 58 | 58 | limpkin | Truman | vestige | world | scherzo | entry | 75 | hernia | 16 | 49 | expense | heathen | Malraux | 75 | 64 | abbas | 66
36 : 34 | pink | Henderson | 75 | 56 | 18 | 98 | 20 | 3 | 76 | 73 | 29 | 79 | 95 | Lipschitz | gnaw | estimable | 9 | deferent | 78 | Moore | 54 | 11 | mash | Pretoria | 67 | Greenland | radio | windswept | cathode | 38 | 53 | 66 | Notre | 56 | 46 | status | 98 | 77
Judith : 61 | 90 | 37 | upcome | grandfather | 69 | rueful | orchestra | 52 | this'll | 86 | 17 | tincture | 77 | 73 | 45 | 85 | flammable | pow | pre | 25 | 82 | 1 | granny | blubber | 18 | granular | urea | coolant | 85 | Brighton | Brookhaven | 5 | 74 | 76 | 24 | safeguard | 64 | leap
87 : disastrous | 0 | bankruptcy | 68 | 83 | corny | 91 | 15 | 13 | 83 | 51 | 61 | Verlag | 52 | bug | January | 11 | 51 | ohmic | serum | 53 | 99 | 97 | greatcoat | 48 | 12 | 89 | 27 | pursuant | dip | sorrowful | 86 | 33 | 58 | sepal | confluent | citadel | 5 | upslope
Harvey : 0 | 78 | monument | suntanning | slew | aloe | 74 | wisenheimer | mixture | Claremont | Wolfe | 94 | 60 | solid | colic | 36 | 67 | subsume | 56 | 52 | 68 | 87 | Jonas | Irvine | 62 | 62 | 18 | 43 | 66 | dead | 51 | 37 | 59 | difficult | 13 | McKeon | 27 | payload | 48
69 : courageous | 48 | gnat | 54 | Reilly | 63 | 52 | 97 | 31 | salient | finery | tansy | 66 | 35 | licorice | 11 | 32 | menarche | 50 | 61 | vendible | 50 | Jamaica | 98 | 14 | 11 | seraglio | 46 | absurdum | SSE | 70 | immanent | kangaroo | satiety | sent | septillion | 85 | beret | 78
timber : insurrect | 22 | 55 | distal | 26 | 50 | 22 | Harold | 98 | 49 | rendezvous | planetoid | butchery | applique | 23 | 92 | eavesdropping | 14 | 48 | omitting | 91 | 56 | homonym | 21 | 66 | glare | needy | 13 | 77 | 95 | cobblestone | paste | 89 | abscond | 17 | desert | 0 | 92 | Sisyphean
morrow : 56 | 78 | recruit | 82 | straight | 70 | anastomotic | 42 | 58 | 42 | hoofmark | dosage | 83 | 40 | Dodson | Kerr | Canfield | 21 | 47 | 36 | duffel | sedate | 23 | latitudinary | largemouth | 85 | 89 | Charley | 58 | Giacomo | bled | credenza | purchasable | armload | Jungian | 65 | 88 | 79 | 58
39 : 63 | 57 | 10 | 20 | 3 | foundling | 93 | 40 | 86 | 92 | carp | 30 | glean | 15 | 41 | plump | 42 | voodoo | 89 | 77 | 32 | Proust | 60 | Bendix | 27 | 27 | 62 | 8 | 1 | 48 | attributive | 94 | cleat | 13 | crease | propose | downstairs | 28 | gorgon
18 : 95 | 51 | Minsky | 78 | lenient | Ithaca | 6 | 44 | dove | 61 | parallax | 75 | 6 | 79 | 48 | decay | 75 | 81 | sycophantic | 24 | 26 | 35 | 47 | 21 | 53 | 41 | 5 | 26 | 1 | 63 | 73 | 48 | 45 | sufficient | 69 | 56 | Apollo | hi | existential
elude : guardian | roommate | 33 | metamorphosis | fogging | capitol | 99 | 97 | 75 | 84 | hoi | 74 | 31 | 35 | 86 | 75 | 77 | exceed | 78 | channel | rate | 60 | inquisitor | 68 | 90 | 15 | 18 | statute | argon | 35 | 89 | 6 | numeral | Scripps | raisin | Dave | 24 | 11 | 17
86 : perturb | 85 | 53 | 59 | fanciful | 67 | 64 | 93 | 54 | 59 | polite | 71 | 31 | pedigree | daytime | 53 | zig | 4 | 67 | 81 | 85 | 0 | 18 | 11 | Marx | gauleiter | pueblo | 6 | 30 | 60 | Nehru | 27 | Collins | burden | 73 | Karol | tecum | Aristotelean | 80
lad : 22 | perspicuity | saltbush | 13 | 87 | 47 | anticipate | 20 | gargantuan | 50 | 34 | galena | 84 | abscess | 21 | median | 40 | 66 | lawmen | 35 | hierarchal | 13 | 70 | 70 | 73 | Baudelaire | amber | seafare | labour | Karl | 72 | 53 | trickery | 47 | eventful | paperwork | 29 | congresswomen | inconvenient
Syracuse : primary | 16 | 55 | 50 | 9 | 32 | 52 | 45 | 49 | paginate | 72 | Ferber | 34 | reticent | 4 | 50 | Indira | 89 | 78 | 78 | Punjab | 48 | 91 | 93 | sweatshirt | 92 | 29 | 60 | 36 | 69 | 6 | 38 | 23 | 64 | 42 | POBox | 51 | ammonium | chauvinist
91 : 61 | 96 | 12 | rectilinear | 89 | minutiae | 93 | 5 | methacrylate | typographer | hailstone | 88 | 40 | 34 | clash | diathesis | 38 | 50 | 50 | cult | astrologer | 49 | 65 | 81 | 7 | 35 | 93 | 66 | Christoffel | 2 | Charon | autopilot | 12 | hodgepodge | 82 | 68 | 67 | 52 | 34
56 : 18 | Shawnee | 47 | 93 | 72 | 79 | 73 | 49 | 16 | 10 | 63 | 55 | 54 | muck | 49 | hobo | 40 | 23 | 25 | 18 | 26 | 73 | agate | 31 | 77 | Siena | 3 | 89 | zazen | 95 | poetic | 53 | 13 | storefront | 86 | colonel | backpack | 52 | 16
7 : 69 | germicide | 41 | 94 | 7 | 58 | trifluoride | samovar | compensable | 60 | 30 | 69 | euphonious | 27 | Mumford | 68 | electrophorus | 8 | 81 | 20 | 71 | 47 | negate | 96 | 33 | Somali | snippet | belief | straddle | 49 | 44 | 53 | 35 | 36 | 97 | 38 | lac | 52 | 20
pseudonymous : 33 | pancreas | morpheme | Oppenheimer | 20 | fieldstone | 63 | 75 | 78 | 5 | 31 | 65 | 8 | 48 | 65 | 14 | 84 | 74 | extolling | 20 | 81 | 74 | tulip | economy | 84 | 60 | eventful | 54 | 12 | thumb | arrowroot | 46 | 55 | 91 | 95 | intervene | 63 | 49 | 64
50 : chicanery | vulpine | plaza | 84 | 99 | 27 | 75 | 74 | 54 | 95 | 44 | 13 | inimical | 99 | Mohammedan | bull | prefecture | 45 | dwelt | Platonist | 98 | 17 | cankerworm | weld | 12 | suffocate | 80 | 83 | 18 | necromantic | 53 | 97 | 28 | 4 | 48 | Pergamon | vocalic | 50 | 83
slate : inaptitude | 69 | 23 | 69 | 77 | 63 | 6 | 3 | 2 | Savannah | 19 | hypochlorous | Rochester | sheep | 47 | 53 | switchgear | chiton | 68 | 54 | coward | policy | 76 | 11 | 19 | amnesiac | nomenclature | 9 | dispersive | sodden | muse | integral | 2 | remonstrate | 36 | 56 | butternut | 99 | lampoon
97 : autochthonous | bestirring | 3 | 80 | blot | 47 | 13 | 14 | 3 | 93 | 3 | 10 | 81 | 74 | henry | bilateral | 95 | 86 | 80 | 93 | 63 | 3 | 78 | 54 | 44 | 9 | horsepower | 88 | 61 | 23 | 80 | Morley | 10 | 9 | 53 | 91 | 76 | 99 | hind
sidetrack : lulu | 73 | chitin | 11 | gypsy | Colombo | 64 | 72 | 86 | scad | fur | grandstand | 83 | Michelson | 97 | crack | fovea | 11 | vent | 25 | 86 | clout | Rachmaninoff | pep | hooch | loin | 68 | deliberate | 37 | 45 | prissy | pasteboard | Magog | 92 | 32 | loblolly | 48 | procedural | 80
myself : 91 | labyrinth | monies | 94 | Paulette | commit | breakaway | blade | 55 | acre | motet | video | parcel | 7 | 30 | chassis | 71 | 3 | 59 | 95 | silicide | 12 | 44 | 96 | 80 | calamus | 53 | useful | 91 | 50 | 51 | qua | 59 | 8 | dragoon | 81 | 84 | 9 | Euripides
flub : 62 | 22 | performance | impart | 19 | rummy | 14 | 22 | 19 | perspicacious | shagging | abroad | province | 80 | Calvin | picture | 67 | 70 | cryogenic | 23 | 38 | 61 | 67 | 12 | 87 | gouge | 62 | ecumenic | AL | 67 | aperiodic | NC | 65 | 50 | 39 | 48 | 70 | bookbind | 9
hose : mask | 73 | 63 | 36 | 22 | 26 | fluke | 21 | 87 | 76 | doorknob | 76 | 51 | 68 | pomade | 71 | 36 | 64 | 81 | Schuylkill | exorcise | 4 | Manuel | porcine | bushland | 6 | 83 | housebroken | 18 | 8 | dustbin | 95 | 69 | 70 | wrasse | Nate | 19 | staff | autism
sleet : course | 52 | 15 | 8 | doorkeeper | 0 | structure | phosphoresce | 2 | Eratosthenes | Carey | 74 | liken | hardhat | 86 | baroque | 92 | 24 | 23 | 56 | 32 | 17 | 56 | trio | hysteric | vodka | twofold | 72 | 86 | 28 | rein | 73 | 26 | monte | Lomb | 36 | 85 | proclivity | 23
53 : 40 | headsman | 46 | Adelaide | desire | 14 | diminution | 12 | 96 | 46 | guanine | 91 | 67 | grassland | 23 | Isaacson | 44 | 11 | triple | 41 | chasm | buzz | 1 | 67 | 91 | Jennie | 18 | Monticello | fathom | candidate | civic | abusable | conspirator | 62 | 58 | intensify | south | opposable | 82
limestone : shelve | 16 | 99 | 64 | 88 | 23 | liquefy | audacity | 26 | rescue | 94 | version | 3 | 66 | Sinology | 55 | 84 | 23 | barbaric | 72 | 48 | vertigo | 12 | 45 | 55 | 14 | blacktop | 28 | 13 | 67 | dynamo | 41 | 68 | 71 | now | 35 | Buchenwald | coercible | emasculate
45 : windowsill | 0 | 1 | 61 | Barth | 17 | langur | Berenices | clockwatcher | rabbinical | thereafter | discuss | howdy | 61 | 9 | 26 | 97 | 59 | pronghorn | 76 | 41 | 57 | 9 | 49 | 66 | void | 8 | 5 | pallet | Steele | 40 | Somerville | 95 | 1 | sappy | crossarm | 22 | Prussia | 42
78 : 6 | taxied | 56 | 14 | 65 | 92 | 64 | 78 | 83 | 97 | 69 | 48 | intercept | 49 | 40 | Ozark | 54 | pianist | 62 | 41 | 40 | granola | 9 | bitten | aloft | 97 | asphalt | 9 | 74 | gild | Jackson | 20 | 76 | 73 | grate | 90 | muddy | 26 | bustle
12 : clean | 69 | hotelman | pushbutton | 55 | 68 | 62 | mineral | 97 | 78 | 63 | 59 | 70 | 96 | 80 | 58 | 75 | 23 | 11 | countervail | 60 | 74 | isolate | 62 | 80 | 57 | 82 | 58 | 6 | 62 | 22 | necromancy | sawyer | 43 | 90 | reciprocate | 42 | 58 | 12
96 : Lenny | doorknob | windup | 78 | tank | 11 | hotelman | 46 | able | crypto | 28 | 98 | 21 | 75 | 72 | hydrometer | tractor | 3 | commodity | 76 | Parke | 30 | 60 | 60 | 10 | 76 | 68 | 68 | 81 | 23 | 17 | 71 | 21 | 65 | 31 | conspicuous | 14 | 98 | 18
30 : 74 | Tristan | 4 | inflorescent | 16 | headmaster | 36 | 25 | 43 | vortices | mathematic | 59 | 53 | 43 | 75 | swampland | 59 | 70 | 47 | 27 | 2 | 44 | 91 | person | 92 | 63 | 88 | climax | 40 | wrest | medley | 73 | icosahedra | cheesemaking | 8 | 57 | 1 | 65 | hoof
27 : Raoul | 29 | 48 | desolate | metalloid | 42 | 64 | 45 | sabra | 65 | 7 | 14 | equilibrium | morphology | handleable | magnanimous | 28 | dusty | shut | aerofoil | 27 | naked | 41 | 6 | 66 | gastronome | 97 | cottonseed | 95 | hill | 67 | 56 | redshank | 73 | 33 | botany | Johnson | 21 | larynges
3 : 70 | 43 | tableaux | 17 | 47 | diatom | 44 | aspirin | 34 | roundworm | 84 | knives | 94 | spontaneity | sift | 66 | 31 | 85 | grump | 11 | 43 | 78 | spatial | 80 | 49 | 28 | soprano | discoid | 17 | Anna | Cochran | sad | 61 | 49 | 4 | 57 | 7 | 75 | 22
Herschel : 25 | 67 | 30 | 42 | 4 | 55 | U.S.A | 19 | 2 | Eros | baklava | 74 | 46 | Donna | 77 | barrette | drub | 10 | 75 | irregular | gravel | 73 | 10 | 48 | 56 | 71 | 56 | 76 | catwalk | define | Sylvia | 9 | 17 | dick | 62 | 59 | 9 | guidepost | 46
31 : 64 | addition | 2 | 88 | 66 | 34 | 92 | radiant | 95 | 49 | 15 | 13 | 14 | stormbound | officemate | 16 | 55 | thirteenth | 52 | 91 | 5 | eagle | 78 | 91 | shifty | 69 | 39 | 72 | 24 | 12 | 8 | dawdle | 55 | chaplain | neath | 35 | fireside | 13 | Rousseau
Horace : la | 15 | 4 | 68 | Blythe | 5 | seventeen | 39 | 49 | cyanate | 84 | involution | 93 | 27 | correct | scale | 63 | Toronto | perform | 31 | brawl | 20 | 91 | 57 | 11 | powdery | filthy | 65 | 72 | 45 | 98 | 84 | 11 | 85 | deserve | it | 1 | MD | 0
30 : smack | Montevideo | 53 | 45 | prerogative | 28 | 36 | wept | 84 | 31 | book | benefice | broaden | 3 | 58 | 71 | 82 | Prokofieff | 1 | 95 | 86 | 64 | 64 | electrician | 52 | 78 | skullduggery | anxiety | 11 | 47 | castle | 12 | 37 | 41 | scarp | anarch | dumbly | lentil | 2
60 : usury | 69 | 49 | 41 | 46 | Harmon | Warwick | 61 | 7 | wasp | 18 | 19 | shire | 98 | distillery | 12 | Cal | 35 | 50 | 54 | 40 | value | 81 | 55 | 40 | 75 | trafficked | 93 | shoestring | 13 | variate | clothesmen | Lafayette | Hawthorne | figurate | 42 | 19 | Simon | 65
chapter : clique | 72 | 36 | 81 | 34 | 71 | immense | inexcusable | their | 42 | 76 | visit | 60 | 80 | 0 | splice | 97 | scarface | nameplate | 10 | riot | deed | 27 | transition | nameplate | 2 | check | 27 | apse | 48 | assai | 61 | 8 | 93 | 17 | 23 | force | 11 | Saturnalia
Middleton : 88 | polysemous | adrenaline | 35 | 20 | 55 | insecure | dreg | 86 | 25 | 24 | 55 | 44 | accredit | 38 | 64 | stuffy | 67 | 48 | 85 | cetacean | 22 | 63 | 51 | 97 | Joseph | 41 | 94 | 64 | Parsi | 97 | 41 | 79 | alundum | 45 | 82 | 5 | 9 | 10
91 : 82 | Blackstone | 18 | 17 | 90 | 11 | 78 | egg | 35 | reciprocal | 43 | 41 | ulna | 31 | 10 | 72 | chutney | Mafioso | dilogarithm | 85 | 64 | 95 | 1 | imitate | 38 | daub | 13 | Binghamton | 38 | cataleptic | 7 | 79 | 38 | coincide | 35 | 51 | 67 | 96 | 77
49 : 9 | 50 | 44 | 51 | divination | 50 | 58 | 51 | heave | 42 | 88 | foam | 10 | 70 | 61 | booklet | 57 | tun | 78 | orbit | 3 | groan | 89 | 3 | die | 85 | 63 | Shakespearian | 98 | 69 | immigrate | 34 | 51 | 16 | Versailles | 89 | incontestable | 62 | 50
eta : stance | 65 | 9 | imperishable | 61 | suppress | 18 | KY | giraffe | 15 | 64 | mulct | rage | 3 | 25 | tearful | 19 | suggestion | Barrett | 26 | 47 | electrician | 53 | Rae | woodcock | 19 | 17 | 80 | 8 | 79 | 87 | 18 | decontrol | 5 | 69 | Elmsford | 46 | indefinable | 15
irreproducible : 53 | 1 | commiserate | circumsphere | cantle | wipe | spandrel | 88 | denature | Jerusalem | afterward | 83 | 56 | glom | wreak | 28 | calligraphy | 24 | 78 | 39 | downwind | 24 | malconduct | galenite | 80 | 57 | massive | 43 | 54 | 83 | freeload | Ilona | 99 | 62 | 14 | 68 | 35 | 37 | 51
14 : 19 | 29 | 34 | 79 | 0 | 48 | 0 | 52 | devil | hail | 79 | 64 | 76 | rubbish | 2 | 19 | 42 | curricular | 16 | 32 | gerund | 83 | 30 | 37 | succinct | 32 | innermost | deepen | resorcinol | abeyance | 60 | 68 | 66 | 44 | Chad | 20 | 72 | phenotype | annal
Nan : 75 | Goddard | 29 | 32 | 45 | 14 | 4 | bourn | shrub | chauvinism | 20 | 58 | greenish | hotelman | 78 | quadric | inhumane | picnicker | 95 | restaurateur | 27 | 35 | leitmotif | 16 | brittle | 37 | Motorola | winemake | 61 | 51 | 25 | mauve | 83 | finessing | ferocity | 11 | 98 | wonderland | 14
24 : fangled | operetta | 52 | 58 | 97 | tripe | 19 | 18 | 26 | midget | 75 | 13 | proboscis | 0 | 60 | strange | bluebush | 19 | Malagasy | 4 | 52 | 3 | 15 | 96 | 11 | uptrend | 87 | gloom | 8 | 59 | 40 | 50 | 76 | 7 | typeset | Niagara | 99 | 40 | 22
66 : miscellaneous | scruffy | diminution | 58 | 2 | Andorra | bemuse | 63 | 32 | 6 | 38 | 57 | delicatessen | cradle | 83 | 61 | 78 | 25 | 3 | 9 | unital | 56 | 73 | 32 | 47 | Bradbury | sweatsocks | 29 | 84 | 77 | 9 | 3 | programmable | 15 | Russ | imbecile | cottontail | farce | controlled
winery : 56 | 55 | 35 | 8 | 24 | staminate | 56 | 47 | 10 | 60 | prodigy | gjetost | 34 | 44 | 19 | 22 | 16 | 62 | bereave | tintype | 38 | 71 | 83 | 85 | 75 | triangulate | 49 | 86 | 12 | 42 | floodlight | 83 | 34 | trouser | 51 | soprano | charisma | 32 | ridgepole
46 : 24 | 37 | instead | 23 | glycerol | sting | 16 | Yves | bullseye | noblesse | 81 | transcript | stoic | 92 | 89 | 17 | morale | 35 | 16 | 18 | 71 | 82 | 11 | 53 | fudge | critique | grill | liverwort | Rembrandt | 33 | 35 | 36 | oblivion | calcify | 46 | 4 | 25 | McPherson | 63
